file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/legacy_api_wrap/__init__.py,83,fn_compatible,1,1,0.000386895,3.519130221
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,469,rank_genes_groups,1,1,0.000349364,3.518742676
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,398,compute_statistics,1,1,0.0038403120000000002,3.428293834
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,277,wilcoxon,8,8,0.004247588,3.361243694
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,45,_ranks,9,9,0.032088883,2.702929466
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,10012,rank,8,8,5.084e-05,2.509356827
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,10127,ranker,8,8,0.000233395,2.509298937
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/algorithms.py,1067,rank,8,8,2.506896295,2.507438472
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1177,__getitem__,154,155,0.000998018,0.27086397700000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1690,_getitem_tuple,96,96,0.0006849540000000001,0.262534677
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1720,_getitem_axis,152,152,0.0008122100000000001,0.261393961
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1206,_getbool_axis,63,63,0.000261187,0.254755952
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1005,_getitem_tuple_same_dim,56,56,0.000537035,0.252364378
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,4164,_take_with_is_copy,63,63,0.000386407,0.251941511
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,174,_basic_stats,1,1,0.000536723,0.251005139
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,4049,take,63,63,0.0008001340000000001,0.250385648
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,888,take,63,63,0.000431496,0.24760619
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,642,reindex_indexer,64,64,0.001005073,0.242718397
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py,1353,take_nd,94,94,0.0008232900000000001,0.239064567
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py,59,take_nd,108,109,0.000505414,0.237656427
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py,120,_take_nd_ndarray,108,108,0.23545527300000002,0.23706078300000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_index.py,29,__getitem__,22,22,0.00021019700000000002,0.230506335
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_csc.py,140,_get_arrayXslice,14,14,6.0778000000000007e-05,0.21940957100000003
