Wed Sep 16 01:39:14 2026    C:\Users\sunze\OneDrive\Desktop\bmi500\results\pbmc3k-1289747\rank_genes_groups.prof

         41846 function calls (40938 primitive calls) in 1.875 seconds

   Ordered by: cumulative time
   List reduced from 1028 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.099    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:642(reindex_indexer)
       12    0.000    0.000    0.097    0.008 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_index.py:29(__getitem__)
       39    0.000    0.000    0.097    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1353(take_nd)
    54/53    0.000    0.000    0.096    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
       53    0.095    0.002    0.096    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        8    0.000    0.000    0.090    0.011 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_csc.py:140(_get_arrayXslice)
        8    0.000    0.000    0.090    0.011 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:651(_minor_index_fancy)
        4    0.000    0.000    0.087    0.022 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:70(<lambda>)
        4    0.000    0.000    0.081    0.020 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:56(<lambda>)
        4    0.000    0.000    0.081    0.020 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:1002(toarray)
        4    0.081    0.020    0.081    0.020 {built-in method scipy.sparse._sparsetools.csr_todense}
        8    0.078    0.010    0.078    0.010 {built-in method scipy.sparse._sparsetools.csr_column_index2}
       16    0.000    0.000    0.069    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11688(sum)
       16    0.000    0.000    0.069    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12563(sum)
       16    0.000    0.000    0.069    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12524(_min_count_stat_function)
       16    0.004    0.000    0.068    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11462(_reduce)
       16    0.000    0.000    0.061    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1502(reduce)
       16    0.000    0.000    0.059    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:400(reduce)
       16    0.000    0.000    0.058    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11485(blk_func)
       16    0.000    0.000    0.058    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:76(_f)
       16    0.000    0.000    0.058    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:389(new_func)
       16    0.000    0.000    0.057    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:455(newfunc)
       16    0.000    0.000    0.057    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:604(nansum)


