Wed Sep 16 02:04:58 2026    C:\Users\sunze\OneDrive\Desktop\bmi500\results\pbmc6k-1289760\rank_genes_groups.prof

         79836 function calls (78296 primitive calls) in 3.519 seconds

   Ordered by: cumulative time
   List reduced from 1028 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.519    3.519 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/legacy_api_wrap/__init__.py:83(fn_compatible)
        1    0.000    0.000    3.519    3.519 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:469(rank_genes_groups)
        1    0.004    0.004    3.428    3.428 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:398(compute_statistics)
        8    0.004    0.001    3.361    0.420 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:277(wilcoxon)
        9    0.032    0.004    2.703    0.300 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:45(_ranks)
        8    0.000    0.000    2.509    0.314 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:10012(rank)
        8    0.000    0.000    2.509    0.314 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:10127(ranker)
        8    2.507    0.313    2.507    0.313 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/algorithms.py:1067(rank)
  155/154    0.001    0.000    0.271    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1177(__getitem__)
       96    0.001    0.000    0.263    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1690(_getitem_tuple)
      152    0.001    0.000    0.261    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1720(_getitem_axis)
       63    0.000    0.000    0.255    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1206(_getbool_axis)
       56    0.001    0.000    0.252    0.005 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1005(_getitem_tuple_same_dim)
       63    0.000    0.000    0.252    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:4164(_take_with_is_copy)
        1    0.001    0.001    0.251    0.251 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:174(_basic_stats)
       63    0.001    0.000    0.250    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:4049(take)
       63    0.000    0.000    0.248    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:888(take)
       64    0.001    0.000    0.243    0.004 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:642(reindex_indexer)
       94    0.001    0.000    0.239    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1353(take_nd)
  109/108    0.001    0.000    0.238    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      108    0.235    0.002    0.237    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       22    0.000    0.000    0.231    0.010 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_index.py:29(__getitem__)
       14    0.000    0.000    0.219    0.016 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_csc.py:140(_get_arrayXslice)
       14    0.000    0.000    0.219    0.016 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:651(_minor_index_fancy)
       14    0.186    0.013    0.186    0.013 {built-in method scipy.sparse._sparsetools.csr_column_index2}
        8    0.000    0.000    0.160    0.020 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:70(<lambda>)
        8    0.000    0.000    0.150    0.019 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:56(<lambda>)
        8    0.000    0.000    0.150    0.019 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:1002(toarray)
        8    0.147    0.018    0.147    0.018 {built-in method scipy.sparse._sparsetools.csr_todense}
       56    0.000    0.000    0.140    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11688(sum)
       56    0.000    0.000    0.139    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12563(sum)
       56    0.001    0.000    0.139    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12524(_min_count_stat_function)
       56    0.009    0.000    0.138    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11462(_reduce)
       56    0.001    0.000    0.122    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1502(reduce)
       56    0.000    0.000    0.114    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:400(reduce)
       56    0.000    0.000    0.112    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11485(blk_func)
       56    0.001    0.000    0.112    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:76(_f)
       56    0.000    0.000    0.111    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:389(new_func)
       56    0.000    0.000    0.111    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:455(newfunc)
       56    0.000    0.000    0.110    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:604(nansum)


