file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
~,0,<method 'sum' of 'numpy.ndarray' objects>,769,769,0.001501251,0.186625845
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/_methods.py,47,_sum,769,769,0.000483471,0.185124594
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py,253,_get_values,384,384,0.0017812840000000002,0.13075942200000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py,209,_maybe_get_mask,384,384,0.000722732,0.115202417
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py,101,isna,439,439,0.000701319,0.11483969100000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py,184,_isna,439,439,0.001549145,0.114138372
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py,1499,_maybe_null_out,384,384,0.011227588,0.11227845900000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py,261,_isna_array,390,390,0.110143629,0.111085137
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py,550,_get_sliceXslice,24,24,9.944700000000001e-05,0.062008343
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py,706,_get_submatrix,24,24,0.000517552,0.061901166
~,0,<built-in method scipy.sparse._sparsetools.get_csr_submatrix>,24,24,0.056809787,0.056809787
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py,53,_wrapfunc,193,193,0.000324992,0.050671543000000006
~,0,<method 'argsort' of 'numpy.ndarray' objects>,71,71,0.049229941000000006,0.049229941000000006
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py,1025,argsort,64,64,0.000249734,0.048660427000000006
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,475,__new__,407,407,0.00907878,0.047641469000000006
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,4282,__setitem__,80,80,0.00059241,0.040267058
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/stats/multitest.py,99,multipletests,16,16,0.0020141210000000002,0.034527187
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,4525,_set_item,80,80,0.00022295800000000002,0.031915235
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/construction.py,517,sanitize_array,500,500,0.00552505,0.030591058
~,0,<built-in method builtins.isinstance>,56534,56565,0.018645441000000002,0.030300171
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,98,__init__,1,1,7.460000000000001e-05,0.026544022
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,2557,to_records,5,5,0.00044984100000000003,0.025976372
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py,35,_select_top_n,16,16,0.001200148,0.025834496000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,4492,_set_item_mgr,80,80,0.000771429,0.023133514
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py,1025,eliminate_zeros,1,1,1.394e-05,0.022055433000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,3994,_ixs,465,465,0.0031861560000000003,0.022044274000000003
~,0,<built-in method scipy.sparse._sparsetools.csr_eliminate_zeros>,1,1,0.021993194,0.021993194
~,0,<method 'any' of 'numpy.ndarray' objects>,1591,1591,0.002038886,0.021502425000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,1366,insert,79,79,0.001014422,0.019933689
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1033,_getitem_lowerdim,470,470,0.002669149,0.019718309
<frozen importlib._bootstrap>,1349,_find_and_load,1,25,0.00013517,0.019682811
<frozen importlib._bootstrap>,1304,_find_and_load_unlocked,1,25,0.00012049800000000001,0.019615021
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/_methods.py,55,_any,1591,1591,0.0010550540000000001,0.019463539000000002
<frozen importlib._bootstrap>,480,_call_with_frames_removed,3,51,3.0050000000000002e-05,0.018746716
<frozen importlib._bootstrap>,911,_load_unlocked,2,23,7.1739e-05,0.017993117
<frozen importlib._bootstrap_external>,993,exec_module,2,23,5.3490000000000005e-05,0.017912778
~,0,<built-in method builtins.exec>,2,23,6.735000000000001e-05,0.016787576000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,6306,__getattr__,944,944,0.0029199760000000003,0.015393228
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/common.py,97,is_bool_indexer,2204,2204,0.003031937,0.015113848000000001
