section,seconds
imports,3.2650904655456543
settings,13.553519487380981
arguments,0.0014681816101074219
read_data,0.7099957466125488
filter,0.06809473037719727
normalize_log,0.07385420799255371
highly_variable_genes,1.0099928379058838
scale,0.07790589332580566
report_placeholder,4.0531158447265625e-06
pca,0.5780835151672363
neighbors,4.5745015144348145
paga_placeholder,4.0531158447265625e-06
louvain,0.38983964920043945
umap,15.900846242904663
write_h5ad,0.2660856246948242
rank_genes_groups,3.527463436126709
