section,seconds
imports,2.640432119369507
settings,13.343091249465942
arguments,0.0015971660614013672
read_data,3.6381752490997314
filter,0.41933417320251465
normalize_log,0.4536478519439697
highly_variable_genes,1.3884224891662598
scale,0.18696284294128418
report_placeholder,4.0531158447265625e-06
pca,1.0925235748291016
neighbors,33.03539752960205
paga_placeholder,3.814697265625e-06
louvain,0.7945718765258789
umap,14.371333837509155
write_h5ad,0.7254140377044678
rank_genes_groups,14.236247301101685
