section,seconds
imports,3.502377986907959
settings,15.045719385147095
arguments,0.001417398452758789
read_data,0.5180637836456299
filter,0.05198955535888672
normalize_log,0.0513310432434082
highly_variable_genes,1.1279118061065674
scale,0.23195719718933105
report_placeholder,3.814697265625e-06
pca,0.5995573997497559
neighbors,4.999746084213257
paga_placeholder,3.814697265625e-06
louvain,0.14535284042358398
umap,8.529142379760742
write_h5ad,3.2921042442321777
rank_genes_groups,1.8829963207244873
